index,raw_vendor,vendor
180,VACATIONRENTPAYMENTWALNUTCREEKCA,VRBO
181,VACATIONRENTPAYMENTWALNUTCREEKCA,VRBO
182,AplPayTST*VICTORYTAMPAFL,Victory Coffee
183,AplPayTST*NAKEDFATAMPAFL,Naked Farmer
184,AplPaySHORTWAVECOFTampaFL,Shortwave Coffee
185,AplPayLUNCHLADY92TAMPAFL,Lunch Lady
186,AplPayCHIPOTLE0823TAMPAFL,Chipotle
187,GRUBHUB*SHAKESHACKNEWYORKNY,ShakeShack
188,AplPayPUBLIXTAMPAFL,Publix
189,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
190,AplPayCHIPOTLETAMPAFL,Chipotle
191,AplPayCAFFEINEROASTAMPAFL,Caffeine Roasters
192,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
193,AplPayMACDILLAFBCTAMPAFL,MacDill Commissary
194,AplPayCAFEHEYTampaFL,Cafe Hey
195,AplPayELEVATIONCOFTampaFL,Elevation Coffee Haus
196,AplPayTST*BUDDYBRTAMPAFL,Buddy Brew Coffee
197,AplPayTST*FOXTAILSTPETERSBURGFL,Foxtail Coffee
198,AplPayPUBLIX#1541SAINTPETERSBFL,Publix
199,MCDONALD'SM2079000TAMPAFL,McDonald's
200,LEMONGRASSTHAITAMPAFL,Lemon Grass Thai
201,AplPayCHIPOTLE0611TAMPAFL,Chipotle
202,AplPayBELLEAIRCOFFBELLEAIRBLUFFL,Belleair Coffee Company
203,CHICK-FIL-A#013990TAMPAFL,Chick-fil-a
204,AplPayZUKKUSUSHI(TAMPAFL,Zukku Sushi
205,AplPayPUBLIX#1808TAMPAFL,Publix
206,AplPayCHICK-FIL-A#TAMPAFL,Chick-fil-a
207,AAFESMACDILLGASPMACDILLAFBFL,MacDill Gas Pumps
208,TOPGOLFTAMPA017-2TAMPAFL,Top Golf
209,MAKERSCRAFTBREWERYNorfolkVA,Makers Craft Brewery
210,AplPayCOALESCENCECNORFOLKVA,Coalescence Coffee Company
211,CHICKSOYSTERBAR02VIRGINIABEACVA,Chicks Oyster Bar
212,CHICKSOYSTERBAR02VIRGINIABEACVA,Chick's Oyster Bar
213,AplPayTST*TASTE-BVIRGINIABEACHVA,Taste
214,AplPayTST*AMERICANVIRGINIABEACHVA,American Brew
215,AplPayTST*AMERICANVIRGINIABEACHVA,American Brew
216,TST*THESTOCKPOT-VIRGINIABEACHVA,The Stockpot
217,BIRCHBARNORFOLKVA,The Birch
218,ROOFTOPQUIRKHOTELRICHMONDVA,Quirk Hotel
219,BEAUVINEBURGERCONCRICHMONDVA,Beauvine Burger
220,TST*BAREBACKGRILLSANDIEGOCA,Bare Back Grill
221,STARBUCKSSTORE6716SANDIEGOCA,Starbucks
222,STARBUCKSSTORE0684SANTAANACA,Starbucks
223,AplPayRAISINGCANE'CAMPPENDLETOCA,Raising Cane's
224,MISSIONHILLSLIQUORSANDIEGOCA,Mission Hills Liquor
225,AplPayKETTLE&STONSanDiegoCA,Kettle & Stone
226,AplPayBIRDROCKCOFLaJollaCA,Bird Rock Coffee
227,AAFESMACDILLAUTOPRID,MacDill Express
228,SQ*PARADECOCOFFEEROAST,Paradeco Coffee Roasters
229,SPEEDWAY06494,Speedway
230,AAFESMACDILLAUTOPRID,MacDill Express
231,TARGET00020404,Target
232,WAWA5127,Wawa
233,LATITUDENORFOLKCLIMB,Latitude Climbing Gym
234,7-ELEVEN21883,7-Eleven
235,0170HARBORPARK,Norfolk Tides
236,7-ELEVEN10895,7-Eleven
237,PUBLIX#1595,Publix
238,WEGMANSCHARLOTTES#127,Wegmans
239,POKECHOP,Poke Chop
240,CRUTCHFIELD.COM,Crutchfield.com
241,HOMEGOODS#0512,HomeGoods
242,HOMEGOODS#0512,HomeGoods
243,PLUSONEFLYERS0463SANDIEGOCA,Plus One Flyers
244,AplPayPETCO#4502POWAYCA,Petco
245,VIRGINIATECHTUITIO(540)231-6277VA,Virginia Tech
246,PAMSANDIEGOCAPAR866-470-1308WI,San Diego Parking
247,NBS-VT*SERVICEFEE888-4706014NE,Virginia Tech
248,ETSY.COM888-961-4798NY,Etsy.com
249,AAACAMEMBERSHIPWECOSTAMESACA,AAA
250,AAACAMEMBERPAYMENCOSTAMESACA,AAA
251,AplPayHILLCRESTACESANDIEGOCA,Hillcrest Ace Hardware
252,ITT010199SANDIEGOCA,ITT MCAS Miramar
253,CHEVRON0090519/CHEVSANDIEGOCA,Chevron
254,PAYATTHEPUM020016SANDIEGOCA,Pay at the Pump
255,KEARNYMESASUBARUKSANDIEGOCA,Kearny Mesa Subaru
256,ITT010199SANDIEGOCA,ITT MCAS Miramar
257,MARINEMARTSTORESANDIEGOCA,Marine Mart
258,UNION7609454786HESPERIACA,HomeGoods
259,DUNKIN#354966Q353SANDIEGOCA,Dunkin
260,AplPayVONS#240024MAMMOTHLAKESCA,Von's
261,AplPaySTARBUCKSSTOHESPERIACA,Starbucks
262,AplPay102PEARSONRPEARSONVILLECA,Texaco
263,TALONSMAMMOTHMAMMOTHLAKESCA,Talons Bar
264,TST*CLOCKTOWERCELLMAMMOTHLAKESCA,Clocktower Cellar
265,MAMMOTHBREWINGCOMPMammothLakesCA,Mammoth Brewing Company
266,AplPayCHIPOTLE3666RIDGECRESTCA,Chipotle
267,AplPay12675MAINSTHESPERIACA,Texaco
268,3011MAINST5045060MAMMOTHLAKESCA,Shell Oil
269,12130BEARVALLEYROVICTORVILLECA,Shell Oil
270,PAYATTHEPUM020040SANDIEGOCA,Pay at the Pump
271,NAVYEXCHANGE110122SANDIEGOCA,Navy Exchange
272,ARCO#42067ARCO4206SANDIEGOCA,Arco
273,PETSMART#23040000SANDIEGOCA,Petsmart
274,GONSALVESSERVICESTSANDIEGOCA,Gonsalves
275,AplPayMARINEMARTSSANDIEGOCA,Marine Mart
276,AplPayTJMAXXSANDIEGOCA,TJ Maxx
277,AplPayHOMEGOODSSANDIEGOCA,HomeGoods
278,AplPayHOMEGOODSSANDIEGOCA,HomeGoods
279,AplPayHOMEGOODSSANDIEGOCA,HomeGoods
280,STOCKXX*140973006483PHILADELPHIAPA,StockX
281,PUMPDELMARSR020010CAMPPENDLETOCA,Del Mar Camp Pendleton
282,C-STOREAREA2010045CAMPPENDLETCA,C-Store
283,UNION7609477506SANCLEMENTECA,HiHo Cheeseburger
284,CLOVERLEAFMARKET&SANDIEGOCA,Clover Leaf Market
285,TRADECOFFEECOBOSTONMA,Trade Coffee
286,CALICAFE0000SANDIEGOCA,Cali Cafe
287,PLUSONEFLYERS0463SANDIEGOCA,Plus One Flyers
288,UNIVERSITYBKSTR#213800-381-5151IL,VT Bookstore
289,UNIVERSITYBKSTR#213800-381-5151IL,Virginia Tech Bookstore
290,UNIVERSITYBKSTR#213800-381-5151IL,UNIVERSITY BKSTR#213800-381-5151        IL
291,SPSHOPIFYKKANDJAYNEWYORKNY,KK and Jay
292,SMOATLANTICSANTAMSANTAMONICACA,Atlantic Aviation
293,ROOFTOPCINEMACLUBMARINADELREYCA,Rooftop Cinema Club
294,USPSPO05673501100SANDIEGOCA,USPS
295,MIRAMARMAINE010017SANDIEGOCA,Miramar Main
296,FUELPUMPS&M020017SANDIEGOCA,Fuel Pumps
297,TST*BOTTLECRAFTLIBSANDIEGOCA,Bottlecraft
298,CORKSANDKEGS00-08RICHMONDVA,Corks and Kegs
299,FRANCOSLIMITED1066RICHMONDVA,Franco's
300,EXXONMOBIL9756PALMETTOFL,EXXONMOBIL 9756     PALMETTO            FL
301,SPTREWGEARPORTLANDOR,Trew
302,SUNNYBUBBLESLAUNDRTAMPAFL,Sunny Bubbles Laundry
303,FINCH&FORKSANTABARBARACA,Finch & Fork
304,TST*THECRUISERY30SANTABARBARACA,The Cruisery
305,TST*TESTPILOT3005SANTABARBARACA,Test Pilot
306,"TST*THEREDDOOR,BSANDIEGOCA",The Red Door
307,TST*DUNEDINNEWZEASANDIEGOCA,Dunedin
308,CITYHALLCHICAGOIL,The City Hall
309,AplPayKROGERCHILLICOTHEIL,Kroger
310,LOVE'S#859/UNBRANDEMORRISIL,Love's
311,GRANTPARKBISTRO02CHICAGOIL,Grant Park Bistro
312,AplPayZIONCOFFEEBPeoriaIL,Zion Coffee
313,AplPayTST*FERNSIDESANDIEGOCA,Fernside
314,TST*LUCHALIBRETACSANDIEGOCA,Lucha Libre
315,HARLAND-BAYPARK4SANDIEGOCA,Harland Brewing Co.
316,TST*HIGHFLYINGFOOSANDIEGOCA,High Flying Food
317,"MANAGEINNCAHOOTS,AUSTINTX",Inn Cahoots
318,TST*LATAQUICARDIAAUSTINTX,La Taquicardia
319,TST*LATCHKEY300547AUSTINTX,Latchkey Brewing Company
320,TST*ZILKERBREWINGAUSTINTX,Zilker Brewing
321,TST*AUGUSTINE00050AUSTINTX,Augustine
322,AplPayTST*CENOTE0AUSTINTX,Cenote
323,AplPayFLATTRACKCOAustinTX,Flat Track Coffee
324,CORONADOBREWINGCOCORONADOCA,Coronado Brewing Co
325,FSP*ROMBAUERVINEYARST.HELENACA,Rombauer Vineyard
326,GOLDCOASTCOFFEE00DUNCANSMILLSCA,GOld Coast Coffee
327,AplPayTST*TASTESOSANMATEOCA,Tastes
328,TST*LADONA0001503SANDIEGOCA,La Dona
329,STONEBREWING-LIBESANDIEGOCA,Stone Brewing
330,PIZZAEBIRRA0000SANDIEGOCA,Pizza e Birra
331,TST*FISHTANK300621SANDIEGOCA,Fishtank
332,TST*HOME&AWAY-SSANDIEGOCA,Home & Away
333,TST*THREENOTCHDVAVIRGINIABEACHVA,Three Notch'd
334,TST*THEHILLCAFE0RICHMONDVA,The Hill Cafe
335,TST*BRAMBLY0001643RICHMONDVA,Brambly
336,TST*BINGO-RICHMONRICHMONDVA,Bingo
